# 2011 Event Horizon Telescope observations of M87 at 1.3mm
# ----------------------------------------------------------------------
# "Monitoring the Morphology of M87* in 2009-2017 with the EHT"
# Wielgus et al., ApJ (2020)
# ----------------------------------------------------------------------
# SRC: M87
# DATE: 2011/03/29
# MJD: 55649
# RA: 12 h 30 m 49.4234 s
# DEC: 12 deg 23 m 28.0437 s
# RF: 229.3 GHz 
# ----------------------------------------------------------------------
# COLUMNS:
# time:    (hours), first observation in UT time on DATE
# t1, t2:  telescope codes (see ARRAY CODES)
# u:       u projection of the baseline length (lambda)
# v:       v projection of the baseline length (lambda)
# amp:     flux density at 1.3mm (debiased, Jy)
# sigma:   flux density rms uncertainty (Jy)
# ----------------------------------------------------------------------
# ARRAY CODES:
# code  name            
# AZ    SMT
# C1    CARMA1
# C2    CARMA2
# C3    CARMA3
# JC    JCMT
# SM    SMA
# CS    CSO
# ----------------------------------------------------------------------
|     time | t1 | t2 |             u |             v |    amp |  sigma |
|   7.6667 | AZ | C2 |  -574153920.0 |   359114592.0 |  0.744 | 0.0543 |
|   7.6667 | AZ | C3 |  -574157888.0 |   359205376.0 |  0.744 | 0.0618 |
|   7.6667 | C2 | C3 |       -3970.0 |       90781.0 |   1.66 | 0.0652 |
|   8.3167 | AZ | C2 |  -604271296.0 |   337487712.0 |  0.848 | 0.0589 |
|   8.3167 | AZ | C3 |  -604285312.0 |   337578176.0 |  0.848 | 0.0656 |
|   8.3167 | C2 | C3 |      -14017.0 |       90450.0 |   1.66 | 0.0779 |
|      8.8 | AZ | C2 |  -615317504.0 |   320862528.0 |  0.744 | 0.0687 |
|      8.8 | AZ | C3 |  -615338752.0 |   320952512.0 |  0.744 | 0.0691 |
|      8.8 | C2 | C3 |      -21241.0 |       89970.0 |   1.66 | 0.0761 |
|      8.8 | JC | SM |      -19587.0 |      119225.0 |   1.66 |  0.024 |
|   9.2833 | AZ | C2 |  -616470848.0 |   304071072.0 |  0.826 | 0.0723 |
|   9.2833 | AZ | C3 |  -616498944.0 |   304160352.0 |  0.826 |  0.069 |
|   9.2833 | C2 | C3 |      -28122.0 |       89297.0 |   1.66 | 0.0776 |
|   9.2833 | JC | SM |      -26643.0 |      118594.0 |   1.66 | 0.0288 |
|   9.7667 | AZ | C2 |  -607712768.0 |   287383232.0 |  0.829 | 0.0759 |
|   9.7667 | AZ | C3 |  -607747328.0 |   287471680.0 | 0.8165 | 0.0798 |
|   9.7667 | AZ | SM | -3195553024.0 | -1204876672.0 |  0.172 | 0.1433 |
|   9.7667 | C2 | C3 |      -34552.0 |       88443.0 |   1.66 | 0.0823 |
|   9.7667 | C2 | SM | -2587840256.0 | -1492259968.0 |  0.362 | 0.0819 |
|   9.7667 | C3 | SM | -2587805696.0 | -1492348416.0 |  0.383 | 0.0834 |
|   9.7667 | JC | SM |      -33270.0 |      117778.0 |   1.66 | 0.0214 |
|    10.25 | AZ | C2 |  -589184128.0 |   271067392.0 |  0.798 | 0.0949 |
|    10.25 | AZ | C3 |  -589224576.0 |   271154816.0 |  0.798 | 0.0816 |
|    10.25 | AZ | SM | -3022046464.0 | -1289633792.0 |  0.186 | 0.0916 |
|    10.25 | C2 | C3 |      -40426.0 |       87420.0 |   1.66 | 0.0884 |
|    10.25 | JC | SM |      -39362.0 |      116788.0 |   1.66 | 0.0204 |
|  53.2833 | C2 | C3 |       29876.0 |       89087.0 |   1.66 | 0.2225 |
|  53.7333 | C2 | C3 |       23584.0 |       89766.0 |   1.66 | 0.2008 |
|     54.2 | AZ | C2 |  -461436896.0 |   398476032.0 |  0.789 | 0.1208 |
|     54.2 | AZ | C3 |  -461420160.0 |   398566336.0 |  0.789 |  0.184 |
|     54.2 | C2 | C3 |       16712.0 |       90296.0 |   1.66 | 0.1892 |
|  54.6333 | C2 | C3 |       10105.0 |       90624.0 |   1.66 | 0.1572 |
|  54.6333 | CS | SM |      -55226.0 |      173591.0 |   1.66 | 0.0223 |
|  55.0667 | AZ | C2 |  -542000448.0 |   373875488.0 |   0.89 | 0.1057 |
|  55.0667 | AZ | C3 |  -541997120.0 |   373966304.0 |   0.89 | 0.1336 |
|  55.0667 | C2 | C3 |        3368.0 |       90788.0 |   1.66 | 0.1736 |
|  55.0667 | CS | SM |      -72951.0 |      172025.0 |   1.66 | 0.0211 |
|     55.5 | AZ | C2 |  -572012096.0 |   360264064.0 |  0.792 | 0.1056 |
|     55.5 | AZ | C3 |  -572015488.0 |   360354848.0 |  0.792 | 0.1232 |
|     55.5 | C2 | C3 |       -3413.0 |       90788.0 |   1.66 | 0.1542 |
|     55.5 | CS | SM |      -89733.0 |      170037.0 |   1.66 | 0.0255 |
|  56.1333 | AZ | C2 |  -602489792.0 |   339264448.0 |  0.862 | 0.1053 |
|  56.1333 | AZ | C3 |  -602503040.0 |   339354944.0 |  0.862 | 0.1131 |
|  56.1333 | AZ | SM | -3399084800.0 |  -922165504.0 |  0.129 | 0.0811 |
|  56.1333 | C2 | C3 |      -13220.0 |       90491.0 |   1.66 | 0.1486 |
|  56.1333 | C2 | SM | -2796594944.0 | -1261429888.0 |  0.283 | 0.0769 |
|  56.1333 | CS | SM |     -112118.0 |      166428.0 |   1.66 | 0.0172 |
|  56.5667 | AZ | C2 |  -613801728.0 |   324403360.0 |  0.872 | 0.1033 |
|  56.5667 | AZ | C3 |  -613821440.0 |   324493440.0 |  0.872 | 0.1408 |
|  56.5667 | C2 | C3 |      -19737.0 |       90088.0 |   1.66 | 0.1704 |
|  56.5667 | CS | SM |     -125686.0 |      163522.0 |   1.66 | 0.0171 |
|     57.0 | AZ | C2 |  -617179200.0 |   309362752.0 |  0.819 | 0.1289 |
|     57.0 | AZ | C3 |  -617205184.0 |   309452288.0 |  0.819 | 0.1049 |
|     57.0 | C2 | C3 |      -25998.0 |       89529.0 |   1.66 | 0.1701 |
|     57.0 | CS | SM |     -137630.0 |      160305.0 |   1.66 | 0.0178 |
|  57.4333 | C2 | C3 |      -31923.0 |       88821.0 |   1.66 | 0.1751 |
|  57.4333 | CS | SM |     -147795.0 |      156818.0 |   1.66 | 0.0189 |
|  57.9333 | C2 | C3 |      -38242.0 |       87832.0 |   1.66 | 0.1683 |
|  57.9333 | CS | SM |     -157142.0 |      152517.0 |   1.66 | 0.0368 |
|  58.3667 | C2 | C3 |      -43190.0 |       86837.0 |   1.66 | 0.2511 |
|  58.3667 | CS | SM |     -163061.0 |      148605.0 |   1.66 | 0.0172 |
|     58.8 | C2 | C3 |      -47580.0 |       85728.0 |   1.66 | 0.2898 |
|     58.8 | CS | SM |     -166872.0 |      144573.0 |   1.66 | 0.0175 |
|  59.2333 | C2 | C3 |      -51355.0 |       84519.0 |   1.66 | 0.3757 |
|  59.2333 | CS | SM |     -168525.0 |      140475.0 |   1.66 |  0.017 |
|    77.25 | CS | SM |        2061.0 |      175584.0 |   1.66 | 0.0958 |
|    77.75 | AZ | C2 |  -417788160.0 |   408005184.0 |  0.702 | 0.0806 |
|    77.75 | AZ | C3 |  -417765760.0 |   408095040.0 |  0.702 | 0.0954 |
|    77.75 | AZ | SM | -2703673600.0 |  -510995232.0 |   0.24 | 0.0889 |
|    77.75 | C2 | C3 |       22396.0 |       89872.0 |   1.66 | 0.1137 |
|    77.75 | CS | SM |      -20021.0 |      175331.0 |   1.66 | 0.0593 |
|     78.2 | AZ | C2 |  -468419616.0 |   396759744.0 |  0.725 | 0.0582 |
|     78.2 | AZ | C3 |  -468403904.0 |   396850080.0 |  0.725 | 0.0817 |
|     78.2 | C2 | C3 |       15725.0 |       90356.0 |   1.66 | 0.0911 |
|     78.2 | CS | SM |      -39612.0 |      174574.0 |   1.66 | 0.0469 |
|  78.6333 | AZ | C2 |  -511012256.0 |   384792640.0 |   0.76 | 0.0615 |
|  78.6333 | AZ | C3 |  -511003168.0 |   384883328.0 |   0.76 | 0.0808 |
|  78.6333 | C2 | C3 |        9093.0 |       90659.0 |   1.66 | 0.1025 |
|  78.6333 | CS | SM |      -57958.0 |      173382.0 |   1.66 | 0.0385 |
|  79.0667 | AZ | C2 |  -546999232.0 |   371865472.0 |  0.705 | 0.0532 |
|  79.0667 | AZ | C3 |  -546996864.0 |   371956256.0 |  0.705 | 0.0804 |
|  79.0667 | C2 | C3 |        2343.0 |       90799.0 |   1.66 | 0.0887 |
|  79.0667 | CS | SM |      -75555.0 |      171750.0 |   1.66 | 0.0403 |
|     79.5 | AZ | C2 |  -575915264.0 |   358145248.0 |  0.683 | 0.0579 |
|     79.5 | AZ | C3 |  -575919680.0 |   358236032.0 |  0.683 | 0.0709 |
|     79.5 | C2 | C3 |       -4437.0 |       90773.0 |   1.66 | 0.0863 |
|     79.5 | CS | SM |      -92175.0 |      169701.0 |   1.66 | 0.0504 |
|  80.2167 | AZ | C1 |  -607242368.0 |   334251360.0 |  0.779 | 0.0631 |
|  80.2167 | AZ | C2 |  -607263488.0 |   334191488.0 |  0.779 | 0.0602 |
|  80.2167 | AZ | C3 |  -607278976.0 |   334281856.0 |  0.779 | 0.0817 |
|  80.2167 | C1 | C2 |      -21148.0 |      -59899.0 |   1.66 | 0.0906 |
|  80.2167 | C2 | C3 |      -15483.0 |       90370.0 |   1.66 | 0.1139 |
|  80.2167 | C3 | SM | -2795045888.0 | -1284968448.0 |  0.302 | 0.0716 |
|  80.2167 | CS | SM |     -116952.0 |      165467.0 |   1.66 | 0.0296 |
|  81.4833 | AZ | C1 |  -610005184.0 |   290419296.0 |  0.776 | 0.1163 |
|  81.4833 | AZ | C2 |  -610010112.0 |   290358464.0 |  0.776 | 0.0725 |
|  81.4833 | AZ | C3 |  -610043584.0 |   290447072.0 |  0.776 | 0.1207 |
|  81.4833 | C1 | C2 |       -4983.0 |      -60840.0 |   1.66 | 0.1601 |
|  81.4833 | C2 | C3 |      -33436.0 |       88609.0 |   1.66 | 0.1742 |
|  81.4833 | CS | SM |     -150187.0 |      155848.0 |   1.66 | 0.0355 |
|  81.6667 | AZ | C1 |  -604781312.0 |   284145248.0 |  0.772 |   0.06 |
