# 2012 Event Horizon Telescope observations of M87 at 1.3mm
# ----------------------------------------------------------------------
# "230 GHz VLBI Observations of M87: Event‐Horizon‐Scale Structure During
# an Enhanced Very‐High‐Energy g‐ray State in 2012"
# Akiyama et al., ApJ, 807, 150 (2015)
# "Monitoring the Morphology of M87* in 2009-2017 with the EHT"
# Wielgus et al., ApJ (2020)
# ----------------------------------------------------------------------
# SRC: M87
# DATE: 2012/03/21
# MJD: 56007
# RA: 12 h 30 m 49.4234 s
# DEC: 12 deg 23 m 28.0437 s
# RF: 229.3 GHz 
# ----------------------------------------------------------------------
# COLUMNS:
# time:    (hours), first observation in UT time on DATE
# t1, t2:  telescope codes (see ARRAY CODES)
# u:       u projection of the baseline length (lambda)
# v:       v projection of the baseline length (lambda)
# amp:     flux density at 1.3mm (debiased, Jy)
# sigma:   flux density rms uncertainty (Jy)
# ----------------------------------------------------------------------
# ARRAY CODES:
# code  name          
# AZ    SMT
# C1    CARMA1
# C2    CARMA2
# SM    SMA
# ----------------------------------------------------------------------
|    time | t1 | t2 |             u |             v |    amp |  sigma |
|  5.8167 | AZ | SM | -2343296512.0 |  -424882240.0 |  0.373 | 0.0487 |
|  5.8167 | C1 | AZ |   340697952.0 |  -421001088.0 |  0.907 | 0.0281 |
|  5.8167 | C1 | C2 |       66814.0 |       32773.0 |    2.2 | 0.0899 |
|  5.8167 | C1 | SM | -2002598656.0 |  -845883328.0 |  0.494 | 0.0476 |
|  5.8167 | C2 | AZ |   340631136.0 |  -421033888.0 |  0.849 | 0.0782 |
|  5.8167 | C2 | SM | -2002665472.0 |  -845916096.0 |   0.59 | 0.1411 |
|    6.05 | AZ | SM | -2489907712.0 |  -456656160.0 | 0.2345 |  0.053 |
|    6.05 | C1 | AZ |   371562592.0 |  -416318624.0 |  0.823 | 0.0283 |
|    6.05 | C1 | C2 |       68174.0 |       33661.0 |    2.2 |  0.097 |
|    6.05 | C1 | SM | -2118344960.0 |  -872974784.0 |  0.443 | 0.0436 |
|    6.05 | C2 | AZ |   371494400.0 |  -416352288.0 |  0.789 | 0.0763 |
|    6.05 | C2 | SM | -2118413184.0 |  -873008448.0 |  0.474 | 0.0723 |
|  6.4333 | AZ | SM | -2710252544.0 |  -512849280.0 | 0.1985 | 0.0413 |
|  6.4333 | C1 | AZ |   419191552.0 |  -407773728.0 | 0.7035 | 0.0265 |
|  6.4333 | C1 | C2 |       69851.0 |       35152.0 |    2.2 | 0.0836 |
|  6.4333 | C1 | SM | -2291060992.0 |  -920622976.0 |    0.4 | 0.0293 |
|  6.4333 | C2 | AZ |   419121728.0 |  -407808864.0 |  0.704 | 0.0664 |
|  6.4333 | C2 | SM | -2291130880.0 |  -920658112.0 |  0.399 | 0.0767 |
|  6.8167 | C1 | C2 |       70822.0 |       36672.0 |    2.2 | 0.1045 |
|  6.8167 | C1 | SM | -2440595968.0 |  -971753408.0 |  0.307 | 0.0507 |
|  6.8167 | C2 | SM | -2440666624.0 |  -971790080.0 |    0.3 |  0.064 |
