# 2013 Event Horizon Telescope observations of M87 at 1.3mm
# ----------------------------------------------------------------------
# "Monitoring the Morphology of M87* in 2009-2017 with the EHT"
# Wielgus et al., ApJ (2020)
# ----------------------------------------------------------------------
# SRC: M87
# DATE: 2013/03/21
# MJD: 56372
# RA: 12 h 30 m 49.4234 s
# DEC: 12 deg 23 m 28.0437 s
# RF: 229.3 GHz 
# ----------------------------------------------------------------------
# COLUMNS:
# time:    (hours), first observation in UT time on DATE
# t1, t2:  telescope codes (see ARRAY CODES)
# u:       u projection of the baseline length (lambda)
# v:       v projection of the baseline length (lambda)
# amp:     flux density at 1.3mm (debiased, Jy)
# sigma:   flux density rms uncertainty (Jy)
# ----------------------------------------------------------------------
# ARRAY CODES:
# code  name            
# AZ    SMT
# C1    CARMA1
# C2    CARMA2
# JC    JCMT
# SM    SMA
# AP    APEX
# ----------------------------------------------------------------------
|     time | t1 | t2 |             u |             v |    amp |  sigma |
|   1.3333 | AZ | C1 |  -605431424.0 |   284839904.0 | 0.6489 | 0.0087 |
|   1.3333 | AZ | C2 |  -605434240.0 |   284780672.0 | 0.6474 | 0.0426 |
|   1.3333 | C1 | C2 |       -2859.0 |      -59234.0 | 1.4911 | 0.0168 |
|   1.3333 | C1 | JC | -2566078720.0 | -1503502208.0 | 0.1497 | 0.0206 |
|   1.3333 | C1 | SM | -2566154752.0 | -1503415552.0 | 0.1607 | 0.0137 |
|   1.3333 | C2 | SM | -2566151936.0 | -1503356288.0 | 0.2253 | 0.0436 |
|   1.8833 | AZ | C1 |  -581879936.0 |   266414976.0 | 0.6659 | 0.0102 |
|   1.8833 | AZ | C2 |  -581875648.0 |   266355760.0 | 0.6666 | 0.0442 |
|   1.8833 | C1 | C2 |        4300.0 |      -59212.0 | 1.4914 | 0.0176 |
|   1.8833 | C1 | JC | -2379384320.0 | -1580246912.0 | 0.1418 | 0.0115 |
|   1.8833 | C1 | SM | -2379466496.0 | -1580162688.0 | 0.1286 | 0.0136 |
|      3.1 | AZ | C1 |  -546219200.0 |   248908912.0 | 0.6694 | 0.0096 |
|      3.1 | AZ | C2 |  -546207872.0 |   248849952.0 | 0.6712 | 0.0749 |
|      3.1 | C1 | C2 |       11370.0 |      -58969.0 | 1.4938 | 0.0273 |
|      3.1 | C1 | JC | -2143173632.0 | -1650428800.0 | 0.1495 | 0.0117 |
|      3.1 | C1 | SM | -2143260160.0 | -1650347136.0 | 0.1408 | 0.0104 |
|   5.4167 | AZ | C1 |  -282597120.0 |   428309248.0 | 0.5815 | 0.0117 |
|   5.4167 | AZ | C2 |  -282645504.0 |   428258272.0 | 0.5867 | 0.0546 |
|   5.4167 | C1 | C2 |      -48411.0 |      -50951.0 | 1.5011 |   0.03 |
|      5.8 | AZ | C1 |  -336289792.0 |   421621536.0 | 0.5227 |  0.016 |
|      5.8 | AZ | C2 |  -336336864.0 |   421569536.0 |  0.603 | 0.0579 |
|      5.8 | C1 | C2 |      -47066.0 |      -51983.0 |  1.486 | 0.0308 |
